"id_producto","id_categoria","codigo_interno","tipo_vehiculo","marca","modelo","año","color","chasis","motor","kilometraje","combustible","transmision","numero_puertas","capacidad_pasajeros","estado","procedencia","ubicacion_actual","costo_base","precio_contado_sugerido","precio_venta_minimo","estado_disponibilidad","observaciones","fecha_ingreso","fecha_registro","activo"
27,1,"N6F23005908",NULL,"OTRO","ATLAS Color: BLANCO Año: 1999 Motor: 2500 c.c",1999,"BLANCO","N6F23005908","2500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","98080000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
28,1,"NCP1000008030",NULL,"OTRO","RACTIS Color: AZUL METALIZADO Año: 2005 Motor: 1500 c.c",2005,"AZUL METALIZADO","NCP1000008030","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","74400000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-13","2026-02-03 01:33:20.122474",True
29,1,"NCP100-0009336",NULL,"OTRO","RACTIS Color: PERLA Año: 2005 Motor: 1500 c.c",2005,"PERLA","NCP100-0009336","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"30903000.00","0.00","72000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-16","2026-02-03 01:33:20.122474",True
30,1,"NCP100-0012961",NULL,"OTRO","RACTIS c/ techo panoramico Color: NEGRO Año: 2005 Motor: 1500 c.c",2005,"NEGRO","NCP100-0012961","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"30954000.00","0.00","76000000.00","DISPONIBLE","Migrado de SQL Server. Chapa: ","2025-11-28","2026-02-03 01:33:20.122474",True
31,1,"NCP100002674",NULL,"OTRO","RACTIS Color: NEGRO Año: 2005 Motor: 1500 c.c",2005,"NEGRO","NCP100002674","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","70000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-10","2026-02-03 01:33:20.122474",True
32,1,"NCP1000027349",NULL,"OTRO","RACTIS Color: NEGRO Año: 2006 Motor: 1500 c.c",2006,"NEGRO","NCP1000027349","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","61600000.00","VENDIDO","Migrado de SQL Server. Chapa: AANG518","2025-10-11","2026-02-03 01:33:20.122474",True
33,1,"NCP1000031061",NULL,"OTRO","RACTIS Color: AZUL METALIZADO Año: 2006 Motor: 1500 c.c",2006,"AZUL METALIZADO","NCP1000031061","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"29970000.00","0.00","74000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-11-13","2026-02-03 01:33:20.122474",True
34,1,"NCP100-0038073",NULL,"OTRO","RACTIS  Color: PLATA Año: 2006 Motor: 1500 c.c",2006,"PLATA","NCP100-0038073","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"34642000.00","0.00","75000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-08-19","2026-02-03 01:33:20.122474",True
35,1,"NCP100-0041079",NULL,"OTRO","RACTIS Color: ROJO Año: 2006 Motor: 1500 c.c",2006,"ROJO","NCP100-0041079","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"33924000.00","0.00","75000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
36,1,"NCP1000041102",NULL,"OTRO","RACTIS Color: GRIS Año: 2006 Motor: 1500 c.c",2006,"GRIS","NCP1000041102","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","74000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
37,1,"NCP1000043723",NULL,"OTRO","RACTIS Color: PERLA Año: 2006 Motor: 1500 c.c",2006,"PERLA","NCP1000043723","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","61200000.00","VENDIDO","Migrado de SQL Server. Chapa: AAOS560","2025-10-15","2026-02-03 01:33:20.122474",True
38,1,"NCP100-0050793",NULL,"OTRO","RACTIS Color: ROJO Año: 2006 Motor: 1500 c.c",2006,"ROJO","NCP100-0050793","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"34755000.00","0.00","75000000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-10-15","2026-02-03 01:33:20.122474",True
39,1,"NCP1000051625",NULL,"OTRO","RACTIS Color: AZUL METALIZADO Año: 2006 Motor: 1500 c.c",2006,"AZUL METALIZADO","NCP1000051625","1500",NULL,NULL,NULL,NULL,NULL,NULL,"IMPORTADO",NULL,"0.00","0.00","64050000.00","VENDIDO","Migrado de SQL Server. Chapa: ","2025-09-26","2026-02-03 01:33:20.122474",True
